dataset,symbol,status,range_start,range_end,error,fingerprint,category,adapter_version,raw_status,first_failure,last_failure,attempts,next_action
valuation_daily,000022.SZ,FAILED,UNKNOWN,UNKNOWN,000022.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:48:47.341898+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,000043.SZ,FAILED,UNKNOWN,UNKNOWN,000043.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:48:53.446594+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002504.SZ,FAILED,UNKNOWN,UNKNOWN,002504.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:48:59.751573+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002505.SZ,FAILED,UNKNOWN,UNKNOWN,002505.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:06.226602+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002509.SZ,FAILED,UNKNOWN,UNKNOWN,002509.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:12.459379+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002604.SZ,FAILED,UNKNOWN,UNKNOWN,002604.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:18.656555+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002610.SZ,FAILED,UNKNOWN,UNKNOWN,002610.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:24.910694+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002618.SZ,FAILED,UNKNOWN,UNKNOWN,002618.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:31.013684+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002619.SZ,FAILED,UNKNOWN,UNKNOWN,002619.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:37.372297+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002621.SZ,FAILED,UNKNOWN,UNKNOWN,002621.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:43.658143+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002665.SZ,FAILED,UNKNOWN,UNKNOWN,002665.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:49.842226+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
valuation_daily,002680.SZ,FAILED,UNKNOWN,UNKNOWN,002680.SZ akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,<symbol> akshare.stock_value_em: TypeError: 'NoneType' object is not subscriptable,SYMBOL_DATA_ERROR,akshare-1.18.94,UNAVAILABLE_SDK_EXCEPTION,UNKNOWN,2026-09-11T07:49:56.067771+00:00,UNKNOWN,isolate; diagnose representative raw/SDK evidence
