symbol,previous_date,ex_date,previous_close,preclose,preclose_gap_proxy,factor_before,factor_after,factor_ratio,shares_before,shares_after,cash_delta,cost_basis_after,total_asset_reconciled,authoritative_event_type,accounting_verified,status,reason
SH600009,2020-08-19,2020-08-20,78.52,77.73,0.789999999999992,2.566245,2.592326,1.0101630982232797,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH600011,2021-07-06,2021-07-07,4.24,4.06,0.1800000000000006,3.674406,3.8373109999999997,1.0443350571493732,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH600004,2021-08-12,2021-08-13,8.74,8.7,0.040000000000000924,2.190539,2.200611,1.0045979551151567,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH688111,2022-05-25,2022-05-26,201.73,201.03,0.6999999999999886,1.002577,1.006068,1.0034820268168927,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ000596,2022-06-10,2022-06-13,223.27,221.07,2.200000000000017,2.463461,2.487976,1.0099514463594106,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ000069,2022-06-15,2022-06-16,5.66,5.56,0.10000000000000053,34.730579,35.355228000000004,1.0179855625211434,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ300003,2022-06-29,2022-06-30,18.45,18.18,0.2699999999999996,4.362279,4.427065,1.0148514113838203,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH688169,2022-07-07,2022-07-08,527.08,374.99,152.09000000000003,1.0063449999999998,1.4145029999999998,1.4055845659291795,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ000157,2022-07-07,2022-07-08,6.31,5.99,0.3199999999999994,57.32147100000001,60.38370200000001,1.0534220589000585,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH688009,2022-07-18,2022-07-19,4.48,4.31,0.17000000000000082,1.069732,1.111926,1.0394435241724096,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH600000,2022-07-20,2022-07-21,7.79,7.38,0.41000000000000014,10.832619,11.434431,1.0555555401699257,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ000001,2022-07-21,2022-07-22,13.01,12.78,0.23000000000000043,100.57205400000001,102.38202,1.0179967091056925,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH688008,2022-08-04,2022-08-05,59.21,58.91,0.30000000000000426,1.007735,1.0128670000000002,1.0050926086719227,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ000002,2022-08-24,2022-08-25,16.62,15.65,0.9700000000000006,121.70262,129.245889,1.0619811553769345,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH600030,2022-08-25,2022-08-26,20.12,19.58,0.5400000000000027,4.445219,4.567814,1.0275790686578097,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ000568,2022-08-25,2022-08-26,219.9,216.66,3.240000000000009,25.489845,25.871025999999997,1.0149542298119112,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ000100,2023-05-05,2023-05-08,3.95,3.59,0.3600000000000003,2.6586069999999995,2.925208,1.1002784540926887,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SZ000063,2023-05-15,2023-05-16,31.36,30.96,0.3999999999999986,12.934661,13.101776000000001,1.0129199365951687,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH688005,2023-05-17,2023-05-18,65.1,64.8,0.29999999999999716,1.005505,1.01016,1.0046295145225532,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
SH688036,2023-05-30,2023-05-31,127.95,126.15,1.7999999999999972,1.0341829999999999,1.04894,1.014269234748589,,,,,,False,False,PARTIAL,"No authoritative corporate-action table: cash dividend, bonus issue, and split cannot be distinguished or fully reconciled"
