audit_date,snapshot_date,snapshot_lag_days,snapshot_not_future,expected_count,provider_count,missing_count,extra_count,missing_symbols,extra_symbols,status
2020-01-03,2020-01-02,1,True,300,300,0,0,,,PASS
2020-02-21,2020-01-23,29,True,300,300,0,0,,,PASS
2020-04-10,2020-04-01,9,True,300,300,0,0,,,PASS
2020-05-29,2020-05-29,0,True,300,300,0,0,,,PASS
2020-07-10,2020-07-01,9,True,300,300,0,0,,,PASS
2020-08-28,2020-08-03,25,True,300,300,0,0,,,PASS
2020-10-16,2020-10-09,7,True,300,300,0,0,,,PASS
2020-12-04,2020-12-01,3,True,300,300,0,0,,,PASS
2021-01-15,2021-01-04,11,True,300,300,0,0,,,PASS
2021-03-05,2021-03-01,4,True,300,300,0,0,,,PASS
2021-04-23,2021-04-01,22,True,300,300,0,0,,,PASS
2021-06-11,2021-06-01,10,True,300,300,0,0,,,PASS
2021-07-23,2021-07-01,22,True,300,300,0,0,,,PASS
2021-09-10,2021-09-01,9,True,300,300,0,0,,,PASS
2021-10-29,2021-10-29,0,True,300,300,0,0,,,PASS
2021-12-17,2021-12-01,16,True,300,300,0,0,,,PASS
2022-01-28,2022-01-28,0,True,300,300,0,0,,,PASS
2022-03-25,2022-03-01,24,True,300,300,0,0,,,PASS
2022-05-13,2022-05-05,8,True,300,300,0,0,,,PASS
2022-07-01,2022-07-01,0,True,300,300,0,0,,,PASS
