symbol,internal_symbol,board,price_bucket,input_start_date,input_end_date,input_rows,years_covered,years_checked,factor_changed,has_zero_volume_history,none_open_max_abs_error,hfq_open_max_abs_error,qfq_open_max_abs_error,none_high_max_abs_error,hfq_high_max_abs_error,qfq_high_max_abs_error,none_low_max_abs_error,hfq_low_max_abs_error,qfq_low_max_abs_error,none_close_max_abs_error,hfq_close_max_abs_error,qfq_close_max_abs_error,hfq_close_vs_adjclose_max_abs_error,volume_unchanged,amount_unchanged,status
600000.XSHG,SH600000,SH_MAIN,LOW,2015-01-05,2023-06-09,2052,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,True,True,PASS
600004.XSHG,SH600004,SH_MAIN,MID,2015-01-05,2023-06-09,2052,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,True,True,PASS
600009.XSHG,SH600009,SH_MAIN,MID,2015-01-05,2023-06-09,2041,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,True,True,PASS
600010.XSHG,SH600010,SH_MAIN,LOW,2015-01-05,2023-06-09,2052,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,True,True,PASS
600011.XSHG,SH600011,SH_MAIN,LOW,2015-01-05,2023-06-09,2052,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,True,True,PASS
600030.XSHG,SH600030,SH_MAIN,MID,2015-01-05,2023-06-09,2045,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,True,True,PASS
688005.XSHG,SH688005,STAR,MID,2019-07-22,2023-06-09,943,5,2019;2020;2021;2022;2023,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,True,True,PASS
688008.XSHG,SH688008,STAR,MID,2019-07-22,2023-06-09,944,5,2019;2020;2021;2022;2023,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,True,True,PASS
688009.XSHG,SH688009,STAR,LOW,2019-07-22,2023-06-09,944,5,2019;2020;2021;2022;2023,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,True,True,PASS
688012.XSHG,SH688012,STAR,HIGH,2019-07-22,2023-06-09,944,5,2019;2020;2021;2022;2023,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,PASS
688036.XSHG,SH688036,STAR,MID,2019-09-30,2023-06-09,895,5,2019;2020;2021;2022;2023,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,True,True,PASS
